སྨན་མིང་།	རང་བཞིན།	ཕན་ནུས།
བྱ་ཁྱད་ཁྱུང་བསྣན།	བསིལ་བ། བཟི་ཅུང་ཡོད།	བྱ་ཁུད་ཁྱུང་བསྣན་བརྡབས་ཆག་རྨ་རིགས་དང་། །གཉན་སྐྲངས་རུས་ཟུག་འཇོམས་ཤིང་གཉན་ཚད་གཅོག །<113>
བྱ་ཤ་སུམ་སྦྱོར།	དྲོ་བ། བཟི་མེད།	བུ་དང་ཤ་མ་འདོན་པར་བྱེད། །
བྱ་ཤ་བཅོ་ལྔ།	དྲོ་བ། བཟི་མེད།	ཉེས་གསུམ་གྱི་འདུ་བ་སྙོམས་པ་དང༌། ཕོ་བའི་མེ་དྲོད་གསོ་ཞིང་ལུས་སྟོབས་འཕེལ་བར་བྱེད། །
བྱང་བ་བཅུ་གཅིག	བསིལ་དྲོད་སྙོམས་པ། བཟི་ཅུང་ཡོད།	བྱང་བ་བཅུ་གཅིག་ཚད་ལྡན་འདི་བསྟེན་པས། །ཀླད་པའི་ནད་ཀྱིས་གློ་བུར་དྲན་མེད་དུ། །བརྒྱལ་དང་རྐང་ལག་འཁྲབ་སྟེ་ལྕེ་བ་སྐྱུགས། །མིག་སྤྲིན་སྐྱ་ལ་བཤང་གཅིན་དབང་མེད་འཆོར། །མདོར་ན་བརྒྱལ་གཟེར་ནད་ཀྱི་རིགས་ལ་ཕན། །
བྱང་པ་བཅུ་གསུམ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་ཅུང་ཡོད།	ཀླད་ནད་ཀྱིས་གློ་བུར་དུ་བརྒྱལ་བ་དང༌། དྲན་པ་འཐོར་བ་དང་རྐང་ལག་འདར་བ། ལྦུ་བ་སྐྱུགས་པ་དང་ལྕེ་རྩུབ་པ། བརྒྱལ་གཟེར་སོགས་ལ་ཕན།
བྱང་ཆོས་སོ་བདུན། (བྱང་པ་སོ་བདུན།)	བསིལ་དྲོད་སྙོམས་པ། བཟི་ཅུང་ཡོད།<114>	བྱང་ཆོས་སོ་བདུན་ཞེས་སུ་གྲགས་པ་འདི། །ཐོ་རེངས་མངར་གསུམ་ཡང་ན་ཆུ་སྐོལ་འཕུལ། །གང་གིས་བསྟེན་པ་དེ་ཡི་ལུས་ལ་ནི། །ཉེས་དང་རྨ་དུག་མཚོན་དང་ལྷན་སྐྱེས་ཀྱི། །ཤིན་ཏུ་གསོ་དཀའ་རྨ་རིགས་བརྒྱལ་ལྐུགས་སྨྱོ། །ཞ་རེངས་མདོག་མི་སྡུག་དང་དབང་བོ་ཉམས། །མོ་བཟད་རེག་པའི་སྡུག་བསྔལ་ཞེན་གྱུར་པ། །འདི་མིན་ཞི་བའི་ཐབས་གཞན་ག་ལ་ཡོད། །སྟོབས་དང་དབང་བོ་ཁ་དོག་ཚེ་དང་དཔལ། །ནད་མེད་ལང་ཚོ་བློ་གྲོས་བདེ་ལ་སྐྱེད། །གཞན་ཡང་བཅོས་རྡུག་རྩ་ལ་བབས་པའི་ནད། །འདི་ལ་ཁ་བསྒྱུར་སྦྱར་རམ་ལྟག་སྤྲོད་བཏང༌། །རྩ་དཀར་ལ་སོགས་བཅོས་གཞན་རྡུག་པར་སེལ། །བྱང་ལུགས་འཕྲུལ་གྱི་སྡེར་མོ། །བྱང་ལུགས་འཕྲུལ་གྱི་སྡེར་མོ་ཟེར་བ་འདི། །གྲུང་ན་མྱོས་ཁུ་ཚ་ན་སྟབ་སེང་གི། །བསྒྲུངས་ཆུས་འཕུལ་བ་རྩ་ནད་ཀུན་ལ་བསྔགས། །གཞན་ཡང་རྩ་དཀར་ཁྲག་རླུང་བསྡོངས་པ་ཡི། །སྟོད་དུ་དབུགས་འཚངས་ལག་པ་འགུལ་དཀའ་སེལ། །
བྱི་ཏང་བདུན་པ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	བྱི་ཏང་བདུན་པ་ཆུ་སྐོལ་ཚ་མོས་དབུལ། །ཕོ་ལོང་སྲིན་ནད་གཞང་འབྲུམ་མ་ལུས་འཇོམས། །
བྱི་རུག་བརྒྱད་པ།	བསིལ་བ། བཟི་ཅུང་ཡོད།<115>	བྱི་རུག་བརྒྱད་པའི་ཁུ་བ་མངལ་དུ་བཏང་། །སྲིན་ལངས་ཁྲོས་པའི་ནད་དང་སྲིན་ནད་འཇོམས། །
བྱུག་སྨན་བྱ་ཁྱུང་དམར་བོ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	བྱུག་སྨན་རྒྱལ་བོ་ཁྱུང་དམར་གཉན་ཚད་དང༌། །ཆུ་སེར་རེངས་འཁུམས་དྲེག་གྲུམ་རྐང་འབམ་དང་། །ཆུ་སེར་སྐྲངས་སོགས་མ་ལུས་སེལ་བར་བྱེད། །
བྱ་ཁྱུང་སྔོན་པོ།	བསིལ་བ། བཟི་ཆེ།	བྱུགས་སྨན་རྒྱལ་བོ་བྱ་ཁྱུང་སྔོན་པོ་ཞེས། །དྲེག་གྲུམ་རྐང་འབམ་ཆུ་སེར་ཚ་བབས་དང་། །ཤུ་ཐོར་གཉན་ནད་ཚ་བར་བསྔགས་པ་ཡིན། །
བྱུག་སྨན་རྩ་དཀར་ཀུན་སེལ།	དྲོ་བ། བཟི་མེད།	སྤང་སྤོས་ཤུ་དག་གོ་སྙོད་རྡོ་རྒྱུས་དང་། །གཡེར་མ་བུལ་ཏོག་ཤིང་མངར་རྣམས། །ཞིབ་བཏགས་མར་རམ་ཕག་ཚིལ་གྱིས། །ལྷན་ཅིག་སྦྱར་བྱུག་རྩ་གས་དང་། །རྩ་འཆུས་རྩ་རེངས་རྩ་འཁུམས་དང་། །རྩ་མདུད་གཞོགས་ཞ་བཤལ་འདར་སོགས། །ཀུན་ལ་རེག་པ་བདེ་སྐྱིད་ཡིན། །
བྱུག་སྨན་རེག་པ་བདེ་བྱེད།	བསིལ་བ། བཟི་མེད།	ཕྱི་ལ་བྱུགས་པས་པགས་ནད་ཤུ་ཐོར་སེལ་བ་དང་། །གློ་ཟག་བུར་རྨ་རྒན་ཤ་འུ་གསོ་བ་དང་། །ཁྱད་པར་དུ་རེག་དུག་ཚ་ཤས་ཀྱི་ཟུག གཟེར་ཕུར་བ་བཏབ་འདྲ་ཞི་བ་དང་། །མི་བཟོད་ཀུ་ཅོ་འདོན་པ་ལ་གཉེན་པོ་འདི་འདྲ་ཡོད་མ་ཡིན། །རྣག་ཚོས་ཅན་ལ་སྐམ་འདེབས་བྱ། །<116>
བྱུག་སྨན་སྦལ་རྒྱབ་བཅུ་བ།	དྲོ་བ། བཟི་ཆེ།	ཟ་འཕྲུག་རྩད་ནས་གཅོད་པའི་སྨན་མཆོག་ཡིན།
བྲག་ཞུན་ལྔ་ཐང་།	བསིལ་བ། བཟི་མེད།	མཆིན་ནད་དུག་འཐབ་ནད་ལ་ཕན།
བྲག་ཞུན་ལྔ་པ།	བསིལ་བ། བཟི་མེད།	བྲག་ཞུན་ལྔ་པས་མཆིན་ནད་མ་ལུས་སེལ།
བྲག་ཞུན་དགུ་བ།	བསིལ་བ། བཟི་མེད།	གཞུང་བཞིན་སྦྱར་བའི་བྲག་ཞུན་དགུ་བ་འདིས། །ཕོ་བའི་ཁྲག་མཁྲིས་ཚད་པ་སེལ་བར་བྱེད། །
བྲག་ཁྱུང་།	ཅུང་བསིལ། བཟི་ཅུང་ཡོད།	བྲག་ཁྱུང་ཞེས་གྲགས་སྣོད་ཀྱི་ཁྲག་མཁྲིས་དང་། །ཕོ་ལོག་གཉན་སྲིན་གཟེར་རིགས་གང་ཡིན་རུང་། །ཕོ་བར་བབས་ལ་བདུད་རྩིར་གྱུར་པ་ཡིན། །<117>
བྲེ་ག་བཅུ་གསུམ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	བྲེ་ག་བཅུ་གསུམ་སྒང་བའི་ནད་རིགས་དང་། །མཁལ་རྐེད་འགྲམས་དང་འོར་དང་ལྟུང་བ་དང་། །འབྲས་བུ་ཚ་གྲང་གང་གིས་སྐྲངས་པ་འཇོམས། །
དབང་བོ་ཀུན་སེལ། (ཡ་མ་སྣ་འཐེན།)	བསིལ་བ། བཟི་མེད།	དབང་བོ་ཀུན་སེལ་ཡ་སྨན་འདི་འཐེན་པས། །འདུས་ནད་ཡ་མ་དཀར་ནག་ཚད་རིགས་དང་། །ངག་གི་གྲེ་འཛེར་ལ་སོགས་སེལ་བ་དང་། །མིག་ལ་སོགས་པའི་དབང་བོ་གསལ་བར་གསུངས། །
དབང་ལག་བཅུ་བ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	ས་བོན་ཉམས་དང་གྲང་གཞི་རྒྱུན་དུ་འཛག །ཟུངས་ཟད་ལུས་སྟོབས་སྐྱེད་པར་བྱེད་པའི་མཆོག །
དབང་རིལ་ཉེར་ལྔ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	ཕན་ཡོན་དུག་ནད་གསར་རྙིང་དང་། །ཚད་པ་རྙིང་བ་རྣམས་ལ་ནི། །སྡུད་དང་གསོད་དང་འཇོམས་པར་བྱེད། །འདི་ལས་ཟབ་པ་གཞན་ན་མེད། །<118>
དབང་རིལ་ཤེལ་དཀར་མཆོད་རྟེན་ཆེན་མོ།	ཅུང་བསིལ། བཟི་མེད།	དུག་རིགས་ཤ་སྦྱོར་རྩི་སྦྱོར་དང་། །སྔོ་སྦྱོར་སྤུ་སྦྱོར་ས་རྡོའི་སྦྱོར། །ཤིང་སྦྱོར་རིན་པོ་ཆེ་ཡི་སྦྱོར། །ཆུ་སྦྱོར་ཚ་སྦྱོར་གྲང་སྦྱོར་སོགས། །མདོར་ན་དུག་རིགས་གང་ཡིན་ཀྱང་། །མི་ཐུབ་གཅིག་ཀྱང་ཡོད་མ་ཡིན། །གསོ་དང་སྲུང་བ་གཉིས་ཀ་བྱེད། །གསོ་ན་གང་ལ་བབས་པ་ཡི། །དོན་སྣོད་སོ་སོའི་ཁ་འཛིན་སྡེབ། །སྲུབ་བ་ཡོད་དུས་ལྟར་སོང་ན། །ཞུ་ལོང་མེད་པར་འཛག་སྐྱུགས་བྱེད། །དྲི་ལྡན་སྐྱུགས་པ་བྱུང་གྱུར་ན། །བསད་པའམ་སྦྱང་བའི་ལས་ལ་སྦྱར། །གཉེན་པོ་འདི་ཡིས་སྲོག་འཕྲོག་གི། །གསོ་སྲུང་འདི་ལས་ལྷག་པར་མེད། །འཛམ་བུའི་གླིང་གི་ནོར་སྣ་ལས། །འདི་བས་ལྷག་པའི་ནད་གཞན་མེད། །འདྲད་ཀྱི་ཕ་ཝང་སྣུམ་འདྲེད་འདྲ། །བསྲུང་བ་བཙན་པོའི་མཁར་ཙུགས་འདྲ། །སོ་བ་བྱ་རབཞག་པ་འདྲ། །བྷིཥ་དགྲ་ཡི་དཔུང་མི་ཚུགས། །ཤ་དུག་རེ་རལ་དཔའ་བོ་ཟེར། །བྱེའུ་ལ་ཕུག་འོམ་བུ་ཡི། །ཁུ་བ་དག་དང་བསྡེབས་ལ་བཏང་། }བཙན་དུག་ཨ་རུ་ར་དང་སྡེབ། །བ་མོར་ཉི་མ་ཕོག་པ་བཞིན། །ཐེངས་པས་ཆོག་པའི་མན་ངག་ཡིན། །ཞེས་སོགས་རྒྱུས་པར་གཞུང་དང་མན་ངག་རྣམས་ལས་གསུངས་པ་ལྟར་རོ། །
